ip;iq;np;dname;15;20;25;30;35;15;20;25;30;35
331;3942;0;ВЛ 330 кВ Копорская - Гатчинская;2000;1984;1876;1762;1639;2000;2000;2000;2000;2000
323;3907;0;ВЛ 330 кВ Копорская - Кингисеппская;2000;2000;2000;2000;1980;2000;2000;2000;2000;2000
343;3917;0;КВЛ 330 кВ Копорская - Пулковская;2000;2000;2000;2000;1961;2000;2000;2000;2000;1996
341;3665;0;КВЛ 330 кВ Ленинградская АЭС - Копорская;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000
